country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,cases_per_mpop,deaths_per_mpop,total_tests,tests_per_mpop,population,continent
China,84786,30,4634 ,0,79462,690,39,59,3,90410000,62814,1439323776 ,Asia
USA,5476266,60600,171535 ,1120,2875147,2429584,17217,16533,518,69362009,209401,331240477 ,North America
Brazil,3278895,49274,106571 ,1007,2384302,788022,8318,15412,501,13464336,63289,212743668 ,South America
India,2525222,65609,49134 ,990,1807556,668532,8944,1828,36,27694416,20045,1381641319 ,Asia
Russia,912823,5065,15498 ,114,722964,174361,2300,6255,106,31903055,218600,145942287 ,Europe
South Africa,579140,6275,11556 ,286,461734,105850,539,9750,195,3351111,56418,59397910 ,Africa
Peru,516296,8300,25856 ,208,354232,136208,1553,15633,783,2705122,81908,33026361 ,South America
Mexico,505751,7371,55293 ,627,341507,108951,3675,3918,428,1142045,8846,129095750 ,North America
Colombia,445111,11306,14492 ,347,261296,169323,1493,8737,284,2104766,41312,50948110 ,South America
Chile,382111,2077,10340 ,41,355037,16734,1252,19968,540,1960210,102435,19136096 ,South America
Spain,358843,2987,28617 ,12,N/A,N/A,617,7675,612,7472031,159805,46757043 ,Europe
Iran,338825,2501,19331 ,169,293811,25683,3956,4028,230,2812488,33434,84121121 ,Asia
UK,316367,1440,41358 ,11,N/A,N/A,80,4657,609,14142736,208196,67929807 ,Europe
Saudi Arabia,295902,1383,3338 ,35,262959,29605,1782,8484,96,4071857,116746,34877777 ,Asia
Pakistan,287300,626,6153 ,14,265215,15932,774,1298,28,2229409,10070,221389758 ,Asia
Argentina,282437,6365,5527 ,165,199005,77905,1718,6242,122,930097,20556,45245940 ,South America
Bangladesh,271881,2766,3591 ,34,156623,111667,0,1649,22,1328757,8059,164887237 ,Asia
Italy,252809,574,35234 ,3,203326,14249,56,4182,583,7467487,123530,60450632 ,Europe
Turkey,246861,1226,5934 ,22,228980,11947,656,2923,70,5592072,66219,84448157 ,Asia
Germany,223774,1505,9289 ,8,202550,11935,224,2670,111,8586648,102445,83817100 ,Europe
France,212211,2846,30406 ,18,83848,97957,367,3250,466,6000000,91896,65291454 ,Europe
Iraq,168290,4013,5709 ,68,120129,42452,627,4173,142,1245355,30882,40325802 ,Asia
Philippines,153660,6216,2442 ,16,71405,79813,461,1400,22,1974976,17994,109754602 ,Asia
Indonesia,135123,2307,6021 ,53,89618,39484,0,493,22,1835505,6702,273871547 ,Asia
Canada,121652,418,9020 ,5,107942,4690,2296,3220,239,4685663,124018,37782247 ,North America
Qatar,114532,251,190 ,0,111258,3084,71,40791,68,542518,193218,2807805 ,Asia
Kazakhstan,101848,476,1269 ,0,78633,21946,221,5416,67,2252153,119773,18803575 ,Asia
Ecuador,99409,1066,6030 ,20,79176,14203,343,5624,341,280484,15869,17674683 ,South America
Bolivia,96459,1388,3884 ,57,33720,58855,71,8250,332,205423,17570,11691940 ,South America
Egypt,96220,112,5124 ,17,57858,33238,41,938,50,135000,1316,102558777 ,Africa
Israel,91080,1258,665 ,14,66965,23450,375,9903,72,2052630,223170,9197590 ,Asia
Ukraine,87872,1732,2011 ,19,46797,39064,138,2011,46,1252842,28669,43700145 ,Europe
Dominican Republic,84488,1354,1409 ,16,49539,33540,303,7779,130,313291,28845,10861024 ,North America
Sweden,84294,0,5783 ,7,N/A,N/A,31,8340,572,917036,90733,10106970 ,Europe
Oman,82743,212,557 ,6,77427,4759,153,16157,109,309212,60378,5121294 ,Asia
Panama,79402,956,1734 ,12,52886,24782,153,18368,401,264046,61083,4322767 ,North America
Belgium,76191,544,9916 ,16,17913,48362,74,6571,855,1924348,165952,11595839 ,Europe
Kuwait,75185,699,494 ,5,66740,7951,115,17575,115,552581,129167,4278040 ,Asia
Belarus,69308,105,603 ,4,66452,2253,0,7335,64,1402346,148413,9448933 ,Europe
Romania,68046,1415,2904 ,44,31920,33222,473,3540,151,1478056,76897,19221234 ,Europe
UAE,63819,330,359 ,1,57473,5987,0,6443,36,5851453,590776,9904690 ,Asia
Netherlands,61840,636,6167 ,2,N/A,N/A,38,3608,360,1195475,69749,17139582 ,Europe
Guatemala,61428,1144,2341 ,45,49355,9732,5,3421,130,197068,10976,17954153 ,North America
Singapore,55580,83,27 ,0,51049,4504,0,9491,5,1610906,275089,5855936 ,Asia
Poland,55319,832,1858 ,14,38362,15099,79,1462,49,2307735,60984,37841399 ,Europe
Portugal,53783,235,1772 ,2,39374,12637,39,5276,174,1799226,176517,10192946 ,Europe
Japan,52217,1070,1073 ,10,37479,13665,211,413,8,1107537,8760,126427433 ,Asia
Honduras,49042,385,1542 ,9,7032,40468,37,4942,155,120181,12111,9923149 ,North America
Nigeria,48445,329,973 ,7,35998,11474,7,234,5,344397,1666,206718314 ,Africa
Bahrain,46052,326,168 ,1,42469,3415,40,26963,98,954192,558671,1707969 ,Asia
Ghana,41847,122,223 ,0,39718,1906,6,1344,7,421588,13535,31147689 ,Africa
Kyrgyzstan,41373,304,1491 ,4,33592,6290,24,6329,228,267718,40955,6536834 ,Asia
Armenia,41299,276,814 ,5,34164,6321,0,13934,275,181962,61392,2963932 ,Asia
Morocco,39241,1306,611 ,27,27644,10986,31,1062,17,1560527,42219,36962919 ,Africa
Switzerland,37671,268,1991 ,0,32900,2780,26,4349,230,868886,100306,8662334 ,Europe
Algeria,37664,477,1351 ,10,26308,10005,44,857,31,0,0,43943409 ,Africa
Afghanistan,37431,7,1363 ,0,26714,9354,31,959,35,97791,2506,39028656 ,Asia
Azerbaijan,34018,103,504 ,4,31490,2024,0,3351,50,820002,80786,10150239 ,Asia
Uzbekistan,33821,498,220 ,4,27825,5776,410,1009,7,1377915,41099,33526634 ,Asia
Venezuela,31381,1012,266 ,7,21580,9535,81,1104,9,1618708,56945,28425746 ,South America
Moldova,29483,396,884 ,6,20556,8043,362,7311,219,128076,31759,4032779 ,Europe
Kenya,29334,580,465 ,5,15298,13571,44,544,9,381317,7074,53907110 ,Africa
Serbia,29233,235,665 ,4,26117,2451,78,3347,76,789480,90403,8732899 ,Europe
Ethiopia,27242,1038,492 ,13,11660,15090,195,236,4,567442,4922,115286168 ,Africa
Ireland,26995,66,1774 ,0,23364,1857,8,5460,359,699036,141379,4944405 ,Europe
Costa Rica,26931,802,281 ,9,8785,17865,99,5281,55,112960,22150,5099746 ,North America
Nepal,25551,594,99 ,4,17077,8375,0,875,3,807015,27639,29197956 ,Asia
Austria,22876,282,725 ,0,20499,1652,19,2538,80,1003432,111335,9012698 ,Europe
Australia,22743,385,375 ,14,13350,9018,47,891,15,5179725,202845,25535329 ,Australia/Oceania
El Salvador,22314,321,595 ,11,10455,11264,448,3438,92,273509,42142,6490228 ,North America
Czechia,19693,292,394 ,3,13731,5568,24,1838,37,783459,73142,10711452 ,Europe
Cameroon,18469,161,401 ,0,15320,2748,30,694,15,149000,5597,26620675 ,Africa
Ivory Coast,16935,46,108 ,1,13721,3106,0,640,4,112061,4236,26452270 ,Africa
Palestine,15834,343,106 ,0,9382,6346,0,3096,21,214862,42007,5114939 ,Asia
Bosnia and Herzegovina,15535,351,469 ,11,9344,5722,0,4739,143,159613,48689,3278206 ,Europe
Denmark,15379,165,621 ,0,13216,1542,1,2654,107,1869782,322670,5794724 ,Europe
S. Korea,14873,103,305 ,0,13863,705,14,290,6,1665084,32474,51274694 ,Asia
Bulgaria,14243,174,492 ,8,9114,4637,58,2052,71,330785,47652,6941717 ,Europe
Madagascar,13643,121,164 ,2,12011,1468,89,491,6,50969,1835,27771319 ,Africa
North Macedonia,12515,158,535 ,3,9030,2950,6,6007,257,120950,58055,2083363 ,Europe
Sudan,12162,47,793 ,1,6325,5044,0,277,18,401,9,43965974 ,Africa
Senegal,11872,132,249 ,5,7615,4008,55,707,15,127506,7593,16793554 ,Africa
Norway,9908,57,261 ,4,8857,790,2,1826,48,530446,97753,5426396 ,Europe
DRC,9605,16,238 ,4,8512,855,0,107,3,0,0,89861967 ,Africa
Malaysia,9149,20,125 ,0,8828,196,4,282,4,1095768,33804,32415436 ,Asia
Paraguay,9022,633,108 ,11,5657,3257,38,1263,15,149349,20908,7143005 ,South America
Zambia,9021,358,256 ,10,7586,1179,0,489,14,96610,5239,18441426 ,Africa
French Guiana,8549,78,53 ,2,7841,655,16,28539,177,44435,148337,299554 ,South America
Guinea,8260,62,50 ,0,7177,1033,24,627,4,14407,1094,13172719 ,Africa
Gabon,8225,148,51 ,0,6277,1897,1,3686,23,100298,44942,2231714 ,Africa
Lebanon,8045,334,94 ,2,2551,5400,42,1179,14,401016,58787,6821555 ,Asia
Tajikistan,7989,39,63 ,0,6777,1149,0,835,7,0,0,9562162 ,Asia
Haiti,7810,29,192 ,0,5123,2495,0,684,17,18933,1658,11419141 ,North America
Finland,7700,17,333 ,0,7050,317,0,1389,60,453576,81846,5541792 ,Europe
Luxembourg,7405,37,122 ,0,6500,783,3,11807,195,672717,1072615,627175 ,Europe
Libya,7327,277,139 ,4,848,6340,0,1065,20,73226,10640,6882396 ,Africa
Albania,7117,146,219 ,6,3695,3203,20,2473,76,42854,14893,2877402 ,Europe
Mauritania,6676,23,157 ,0,5889,630,3,1432,34,58147,12469,4663408 ,Africa
Greece,6632,251,223 ,2,3804,2605,22,637,21,704921,67673,10416565 ,Europe
Croatia,6258,208,163 ,2,5134,961,10,1526,40,134742,32848,4102026 ,Europe
Maldives,5572,78,22 ,1,3010,2540,12,10287,41,94047,173628,541657 ,Asia
Djibouti,5367,9,59 ,0,5181,127,0,5423,60,62731,63384,989701 ,Africa
Zimbabwe,5072,82,128 ,0,1998,2946,0,341,9,149748,10058,14888534 ,Africa
Malawi,4988,76,156 ,3,2576,2256,4,260,8,38451,2004,19185679 ,Africa
Hungary,4853,40,607 ,0,3590,656,6,503,63,372687,38591,9657251 ,Europe
Equatorial Guinea,4821,0,83 ,0,2182,2556,0,3424,59,44356,31503,1408014 ,Africa
CAR,4652,0,61 ,0,1728,2863,2,961,13,29930,6184,4839590 ,Africa
Hong Kong,4361,48,67 ,2,3392,902,30,581,9,780415,103995,7504369 ,Asia
Nicaragua,4115,0,128 ,0,2913,1074,0,620,19,0,0,6633985 ,North America
Montenegro,3930,73,73 ,0,2752,1105,0,6257,116,41729,66439,628076 ,Europe
Congo,3745,0,60 ,0,1625,2060,0,677,11,0,0,5533484 ,Africa
Namibia,3726,182,31 ,4,848,2847,14,1463,12,38743,15216,2546271 ,Africa
Eswatini,3670,71,68 ,3,1991,1611,10,3159,59,28380,24432,1161610 ,Africa
Thailand,3376,17,58 ,0,3173,145,1,48,0.8,749213,10730,69821712 ,Asia
Somalia,3250,23,93 ,0,2268,889,2,204,6,0,0,15942742 ,Africa
Cuba,3229,55,88 ,0,2547,594,3,285,8,319440,28205,11325748 ,North America
Cabo Verde,3136,63,33 ,0,2254,849,0,5633,59,61633,110709,556713 ,Africa
Mayotte,3119,0,39 ,0,2940,140,1,11401,143,13000,47521,273563 ,Africa
Sri Lanka,2886,4,11  ,0,2658,217,1,135,0.5,166737,7783,21424320 ,Asia
Suriname,2838,77,41 ,1,1894,903,15,4833,70,4449,7576,587268 ,South America
Slovakia,2801,62,31 ,0,1944,826,6,513,6,289590,53039,5459973 ,Europe
Mozambique,2708,70,19 ,0,1075,1614,0,86,0.6,75430,2406,31353176 ,Africa
Mali,2597,0,125 ,0,1979,493,0,128,6,29837,1469,20315702 ,Africa
South Sudan,2482,4,47 ,0,1175,1260,0,221,4,12044,1074,11209439 ,Africa
Slovenia,2369,37,129 ,0,2027,213,3,1140,62,141879,68245,2078974 ,Europe
Lithuania,2352,22,81 ,0,1691,580,6,866,30,570657,210009,2717297 ,Europe
Rwanda,2293,93,8 ,0,1604,681,0,177,0.6,323905,24938,12988585 ,Africa
Estonia,2177,3,63 ,0,1976,138,1,1641,47,132270,99703,1326646 ,Europe
Guinea-Bissau,2088,0,29 ,0,1015,1044,5,1058,15,1500,760,1973297 ,Africa
Benin,2014,0,38 ,0,1681,295,0,166,3,101987,8388,12158940 ,Africa
Iceland,1983,7,10 ,0,1861,112,1,5806,29,174244,510210,341514 ,Europe
Sierra Leone,1947,7,69 ,0,1502,376,0,244,9,0,0,7995721 ,Africa
Tunisia,1903,56,53 ,0,1320,530,9,161,4,108823,9196,11833502 ,Africa
Yemen,1858,11,528 ,0,1009,321,0,62,18,120,4,29901288 ,Asia
Angola,1852,37,86 ,6,584,1182,20,56,3,64747,1963,32978752 ,Africa
Gambia,1623,67,50 ,7,304,1269,0,669,21,6157,2540,2424243 ,Africa
New Zealand,1602,13,22 ,0,1531,49,1,320,4,524414,104839,5002100 ,Australia/Oceania
Syria,1515,83,58 ,3,403,1054,0,86,3,0,0,17548920 ,Asia
Uruguay,1421,12,38 ,1,1182,201,4,409,11,142599,41033,3475219 ,South America
Uganda,1385,32,12 ,1,1142,231,0,30,0.3,312792,6815,45899579 ,Africa
Jordan,1329,9,11 ,0,1229,89,3,130,1,679751,66542,10215350 ,Asia
Cyprus,1318,13,20 ,0,870,428,5,1091,17,239630,198299,1208430 ,Asia
Latvia,1308,1,32 ,0,1078,198,0,694,17,222531,118149,1883484 ,Europe
Georgia,1306,23,17 ,0,1085,204,0,327,4,283789,71157,3988201 ,Asia
Malta,1276,31,9 ,0,762,505,0,2889,20,152087,344331,441689 ,Europe
Liberia,1252,0,82 ,0,738,432,0,247,16,0,0,5071223 ,Africa
Burkina Faso,1238,10,54 ,0,1005,179,0,59,3,0,0,20967427 ,Africa
Botswana,1214,0,3 ,0,120,1091,1,515,1,87280,37028,2357115 ,Africa
Niger,1161,0,69 ,0,1075,17,0,48,3,9052,372,24300703 ,Africa
Togo,1124,20,26 ,0,806,292,2,135,3,51523,6207,8300835 ,Africa
Bahamas,1119,30,17 ,2,138,964,1,2842,43,7322,18598,393698 ,North America
Jamaica,1071,6,14 ,0,754,303,1,361,5,45279,15283,2962760 ,North America
Andorra,989,8,53 ,0,863,73,1,12798,686,3750,48525,77280 ,Europe
Aruba,973,79,4 ,0,114,855,0,9109,37,14047,131499,106822 ,North America
Chad,951,2,76 ,0,862,13,0,58,5,0,0,16478310 ,Africa
Vietnam,930,19,22  ,1,437,471,0,10,0.2,621823,6381,97444594 ,Asia
Sao Tome and Principe,885,2,15 ,0,809,61,0,4029,68,3249,14793,219633 ,Africa
Lesotho,884,0,25 ,0,271,588,0,412,12,11097,5175,2144313 ,Africa
Réunion,776,22,5 ,0,657,114,4,866,6,35419,39526,896091 ,Africa
Diamond Princess,712,0,13 ,0,651,48,4,0,0,0,0,0,
San Marino,699,0,42 ,0,657,0,0,20595,1237,6068,178786,33940 ,Europe
Guyana,649,18,22 ,0,306,321,6,825,28,5809,7381,787019 ,South America
Channel Islands,607,4,47 ,0,545,15,0,3487,270,52055,299069,174057 ,Europe
Tanzania,509,0,21 ,0,183,305,7,8,0.4,0,0,59923721 ,Africa
Taiwan,481,0,7 ,0,450,24,0,20,0.3,84446,3545,23822138 ,Asia
Guadeloupe,446,79,14 ,0,289,143,2,1115,35,22696,56721,400133 ,North America
Trinidad and Tobago,426,22,10 ,2,139,277,0,304,7,12937,9240,1400049 ,North America
Burundi,412,2,1 ,0,315,96,0,35,0.08,17306,1451,11929990 ,Africa
Comoros,403,4,7 ,0,379,17,0,462,8,0,0,871732 ,Africa
Myanmar,374,5,6 ,0,322,46,0,7,0.1,130539,2397,54454349 ,Asia
Faeroe Islands,365,3,0,0,225,140,0,7466,0,68620,1403674,48886 ,Europe
Belize,356,60,2 ,0,32,322,3,893,5,4688,11765,398470 ,North America
Mauritius,345,1,10 ,0,334,1,0,271,8,205285,161384,1272031 ,Africa
Isle of Man,336,0,24 ,0,312,0,0,3949,282,9066,106549,85088 ,Europe
Martinique,336,0,16 ,0,98,222,2,895,43,12227,32586,375228 ,North America
Mongolia,297,0,0,0,269,28,1,90,0,42533,12950,3284499 ,Asia
Eritrea,285,0,0,0,248,37,0,80,0,0,0,3552248 ,Africa
Cambodia,273,1,0,0,225,48,1,16,0,77380,4621,16746434 ,Asia
Papua New Guinea,271,0,3 ,0,78,190,0,30,0.3,11920,1329,8966719 ,Australia/Oceania
Sint Maarten,263,15,17 ,0,102,144,3,6126,396,1637,38128,42934 ,North America
Turks and Caicos,258,17,2 ,0,52,204,3,6653,52,1631,42059,38779 ,North America
Gibraltar,206,1,0,0,188,18,0,6115,0,26526,787355,33690 ,Europe
Cayman Islands,203,0,1 ,0,202,0,0,3084,15,32468,493330,65814 ,North America
French Polynesia,166,27,0,0,64,102,1,591,0,6525,23212,281107 ,Australia/Oceania
Bermuda,159,0,9 ,0,145,5,0,2554,145,31582,507350,62249 ,North America
Barbados,148,4,7 ,0,119,22,0,515,24,14037,48838,287419 ,North America
Monaco,146,2,4 ,0,114,28,4,3717,102,38209,972833,39276 ,Europe
Brunei ,142,0,3 ,0,138,1,0,324,7,43312,98889,437985 ,Asia
Bhutan,131,3,0,0,100,31,0,170,0,56261,72818,772628 ,Asia
Seychelles,127,0,0,0,126,1,0,1290,0,0,0,98422 ,Africa
Saint Martin,109,17,4 ,0,49,56,1,2813,103,2321,59908,38743 ,North America
Antigua and Barbuda,93,1,3 ,0,83,7,1,949,31,1780,18158,98027 ,North America
Liechtenstein,91,1,1 ,0,87,3,0,2386,26,900,23596,38142 ,Europe
St. Vincent Grenadines,57,0,0,0,55,2,0,514,0,2649,23868,110984 ,North America
Macao,46,0,0,0,46,0,0,71,0,4071,6259,650387 ,Asia
Curaçao,32,0,1 ,0,30,1,0,195,6,1080,6578,164176 ,North America
Fiji,28,0,1 ,0,20,7,0,31,1,6693,7460,897237 ,Australia/Oceania
Saint Lucia,25,0,0,0,25,0,0,136,0,4465,24302,183730 ,North America
Timor-Leste,25,0,0,0,24,1,0,19,0,4238,3207,1321362 ,Asia
Grenada,24,0,0,0,23,1,0,213,0,6252,55530,112587 ,North America
New Caledonia,23,0,0,0,22,1,0,80,0,11265,39412,285829 ,Australia/Oceania
Laos,22,2,0,0,19,3,0,3,0,33001,4528,7288059 ,Asia
Dominica,18,0,0,0,18,0,0,250,0,1005,13957,72008 ,North America
Saint Kitts and Nevis,17,0,0,0,17,0,0,319,0,1312,24641,53245 ,North America
Greenland,14,0,0,0,14,0,0,247,0,6275,110510,56782 ,North America
Montserrat,13,0,1 ,0,12,0,0,2604,200,61,12220,4992 ,North America
Caribbean Netherlands,13,0,0,0,7,6,0,495,0,424,16151,26252 ,North America
Falkland Islands,13,0,0,0,13,0,0,3724,0,2256,646233,3491 ,South America
St. Barth,13,0,0,0,9,4,0,1316,0,1699,171946,9881 ,North America
Vatican City,12,0,0,0,12,0,0,14981,0,0,0,801 ,Europe
Western Sahara,10,0,1 ,0,8,1,0,17,2,0,0,599004 ,Africa
MS Zaandam,9,0,2 ,0,0,7,0,0,0,0,0,0,
British Virgin Islands,9,0,1 ,0,7,1,0,297,33,1522,50304,30256 ,North America
Saint Pierre Miquelon,4,0,0,0,1,3,0,691,0,0,0,5790 ,North America
Anguilla,3,0,0,0,3,0,0,200,0,537,35755,15019 ,North America
